"Source:","C:\Users\peter\OneDrive\500_rtm_shared\KiCad_V30\Adapterboard.kicad_sch"
"Date:","5/5/2023 11:07:34 AM"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","78"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","SNAPEDA_PN","STANDARD"
"","","C100","100n","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"","","C101","100n","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"","","C102","4n7","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"","","C103","100n","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"","","C104","100n","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"","","C105","4n7","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"","","C106","4n7","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"","","C107","100n","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"","","C108","4n7","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"","","C109","100n","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"","","C110","4n7","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"","","C111","100n","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"","","C112","4n7","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"","","C113","100n","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"","","D100","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","","","",""
"","","D101","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","","","",""
"","","D102","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","","","",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","",""
"","","H100","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","",""
"","","H101","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","",""
"","","H102","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","",""
"","","J2","PotiCenterpin","Connector:Conn_01x01_Female","Adapterboard:Poti_mid_contact","~","","","","",""
"","","J3","PotiCenterpin","Connector:Conn_01x01_Female","Adapterboard:Poti_mid_contact","~","","","","",""
"","","J4","PotiCenterpin","Connector:Conn_01x01_Female","Adapterboard:Poti_mid_contact","~","","","","",""
"","","J100","Y","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","",""
"","","J101","X","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","",""
"","","J102","Z","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","",""
"","","J103","JTAG","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","",""
"","","J104","GPIO","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~","","","","",""
"","","J107","POWER","Connector_Generic:Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","","","","",""
"","","J108","STM","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~","","","","",""
"","","J109","TUNNEL_SIGNAL","Connector:Screw_Terminal_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"","","J110","ADC input Tunnel","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"","","JP101","SolderJumper_3_Bridged12","Jumper:SolderJumper_3_Bridged12","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","~","","","","",""
"","","R100","220","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R101","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R102","220","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R103","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R104","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R105","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R106","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R107","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R108","220","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R109","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R110","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R111","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R112","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R113","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R114","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R115","220","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R116","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R117","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R118","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R119","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R120","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R121","470","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R122","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R123","470","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R124","68k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R125","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R126","470","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R127","68k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R128","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","R129","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"","","U2","mint","mint:mint","Adapterboard:mint","","","","","",""
"","","U3","OTH","OTH:OTH","Adapterboard:oth","","","","","",""
"","","U4","UniRegensburg","UniRegensburg:UniRegensburg","Adapterboard:ur","","","","","",""
"","","U10","ADC TUNNEL",":Mikroe-Socket_3","Mikroe:Mikroe_Socket","","","","","",""
"","","U100","DAC Z","mikroe:Mikroe-Socket","Mikroe:Mikroe_Socket","","","","","",""
"","","U101","DAC X",":Mikroe-Socket_1","Mikroe:Mikroe_Socket","","","","","",""
"","","U102","DAC Z","mikroe:Mikroe-Socket","Mikroe:Mikroe_Socket","","","","","",""
"","","U103","OPA227P","2023-02-22_17-26-47:OPA227P","Package_DIP:DIP-8_W7.62mm","","","","","",""
"","","U104","OPA227P","2023-02-22_17-26-47:OPA227P","Package_DIP:DIP-8_W7.62mm","","","","","",""
"","","U105","OPA227P","2023-02-22_17-26-47:OPA227P","Package_DIP:DIP-8_W7.62mm","","","","","",""
"","","U106","OPA227P","2023-02-22_17-26-47:OPA227P","Package_DIP:DIP-8_W7.62mm","","","","","",""
"","","U107","ESP32-DEVKITC-32D","ESP32-DEVKITC-32D:ESP32-DEVKITC-32D","ESP32-DEVKITC-32D:MODULE_ESP32-DEVKITC-32D","","Espressif Systems","N/A","V4","ESP32-DEVKITC-32D","Manufacturer Recommendations"
"","","U108","USB","CP2102_USB:CP_2102_USB","CP2102_USB:CP2102_USB","","","","","",""
"","","U109","USB_GENERIC","CP2102_USB:CP_2102_USB_GENERIC","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","SNAPEDA_PN","STANDARD"
"1","8","C100, C101, C103, C104, C107, C109, C111, C113","100n","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"2","6","C102, C105, C106, C108, C110, C112","4n7","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","","",""
"3","3","D100, D101, D102","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","","","",""
"4","4","H2, H100, H101, H102","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","",""
"5","3","J2, J3, J4","PotiCenterpin","Connector:Conn_01x01_Female","Adapterboard:Poti_mid_contact","~","","","","",""
"6","1","J100","Y","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","",""
"7","1","J101","X","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","",""
"8","1","J102","Z","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","",""
"9","1","J103","JTAG","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","",""
"10","1","J104","GPIO","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~","","","","",""
"11","1","J107","POWER","Connector_Generic:Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","","","","",""
"12","1","J108","STM","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~","","","","",""
"13","1","J109","TUNNEL_SIGNAL","Connector:Screw_Terminal_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"14","1","J110","ADC input Tunnel","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"15","1","JP101","SolderJumper_3_Bridged12","Jumper:SolderJumper_3_Bridged12","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","~","","","","",""
"16","4","R100, R102, R108, R115","220","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"17","16","R101, R103, R104, R105, R106, R107, R109, R110, R111, R112, R113, R114, R116, R117, R118, R120","3k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"18","4","R119, R125, R128, R129","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"19","3","R121, R123, R126","470","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"20","1","R122","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"21","2","R124, R127","68k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","",""
"22","1","U2","mint","mint:mint","Adapterboard:mint","","","","","",""
"23","1","U3","OTH","OTH:OTH","Adapterboard:oth","","","","","",""
"24","1","U4","UniRegensburg","UniRegensburg:UniRegensburg","Adapterboard:ur","","","","","",""
"25","1","U10","ADC TUNNEL",":Mikroe-Socket_3","Mikroe:Mikroe_Socket","","","","","",""
"26","2","U100, U102","DAC Z","mikroe:Mikroe-Socket","Mikroe:Mikroe_Socket","","","","","",""
"27","1","U101","DAC X",":Mikroe-Socket_1","Mikroe:Mikroe_Socket","","","","","",""
"28","4","U103, U104, U105, U106","OPA227P","2023-02-22_17-26-47:OPA227P","Package_DIP:DIP-8_W7.62mm","","","","","",""
"29","1","U107","ESP32-DEVKITC-32D","ESP32-DEVKITC-32D:ESP32-DEVKITC-32D","ESP32-DEVKITC-32D:MODULE_ESP32-DEVKITC-32D","","Espressif Systems","N/A","V4","ESP32-DEVKITC-32D","Manufacturer Recommendations"
"30","1","U108","USB","CP2102_USB:CP_2102_USB","CP2102_USB:CP2102_USB","","","","","",""
"31","1","U109","USB_GENERIC","CP2102_USB:CP_2102_USB_GENERIC","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","","","","","",""
